,id,name,all_time_quantity_sold,price,store_id,discount,discount_rate,images,inventory_status,list_price,original_price,rating_average,review_count
41,193151000,"Trend Following – Cách thức để kiếm được VẬN MAY LỚN và GIÀU CÓ trong các thị trường BÒ, GẤU và các sự kiện THIÊN NGA ĐEN",953,599000,7269,0,0,https://salt.tikicdn.com/ts/product/3b/0f/36/3ef1ef1cbec5724c27e8815cbb68786b.png,1,599000,599000,4.7,129
42,194959173,Semantic Error – Lỗi Logic (Tập 2),2461,155000,40395,104000,40,https://salt.tikicdn.com/ts/product/62/4b/23/35b3d23518e503fca0bfbbe0cb99eb54.png,1,259000,259000,4.8,644
43,72459686,How Psychology Works - Hiểu Hết Về Tâm Lý Học,16014,210000,40395,90000,30,https://salt.tikicdn.com/ts/product/ba/e0/f8/1467e532030ac2e305b7402c6a18fa0f.jpg,1,300000,300000,4.8,3389
44,195969664,Tokyo Revengers - Tập 4,937,74750,40395,40250,35,https://salt.tikicdn.com/ts/product/e4/49/ed/f53036fa665f9d3aa239c263337db1c7.jpg,1,115000,115000,5.0,202
45,8885999,Totto - Chan Bên Cửa Sổ (Tái Bản),21855,68500,40395,29500,30,https://salt.tikicdn.com/ts/product/7f/21/78/a9cb623c790d524f60846a7d1b1c2a54.jpg,1,98000,98000,5.0,2078
46,68585576,"Càng Kỷ Luật, Càng Tự Do",21355,76200,40395,32800,30,https://salt.tikicdn.com/ts/product/e5/9e/3e/405f647bc0e55f372e6926e20b3e6504.png,1,109000,109000,4.8,3555
47,106863963,Tâm Lý Học - Phác Họa Chân Dung Kẻ Phạm Tội,22276,94200,40395,50800,35,https://salt.tikicdn.com/ts/product/50/37/95/96a6966d0b598f5b2adc22cce8aef865.jpg,1,145000,145000,4.8,6124
48,145288029,Xứ Cát,7519,174000,40395,75000,30,https://salt.tikicdn.com/ts/product/ec/49/26/269fc4c4dceb8ed58f048011b0aaf5a4.png,1,249000,249000,4.7,1283
49,111285062,Đắc Nhân Tâm (Bìa Mềm)(Tái Bản),10768,53200,40395,32800,38,https://salt.tikicdn.com/ts/product/73/ac/e1/41f2139e7511de8b97a2a500032c46c9.jpg,1,86000,86000,4.8,1062
50,85763211,Hãy Khiến Tương Lai Biết Ơn Vì Hiện Tại Bạn Đã Cố Gắng Hết Mình (Tặng Kèm: 01 Bookmark),12321,64400,40395,34600,35,https://salt.tikicdn.com/ts/product/52/76/da/7fd7b3c6471bf5aba7be50d39dfffe9a.jpg,1,99000,99000,5.0,2477
